SymbolName;Type;Direction;ComponentName;Function;DriveType;VarName
pallet01_ButtonPress;BOOL;READ;pallet;Interactor;;ButtonPress
rectangular_tube_101_ButtonPress;BOOL;READ;rectangular tube 1;Interactor;;ButtonPress
CAR01_AXIS;FLOAT32;READ;CAR;Kinematic;PositioningMotor;KinAxis
CAR01_RCHD;BOOL;READ;CAR;Kinematic;PositioningMotor;KinReached
CAR01_ACT_SPD;FLOAT32;READ;CAR;Kinematic;PositioningMotor;KinSpeed
pallet01_PALET_STATE;UINT16;WRITE;pallet;ModelScript;;PALET_STATE
CAR01_S_ACC;FLOAT32;WRITE;CAR;ModelScript;;S_ACC
Fork01_S_ACC_FORK;FLOAT32;WRITE;Fork;ModelScript;;S_ACC_FORK
Platform01_S_ACC_FORM;FLOAT32;WRITE;Platform;ModelScript;;S_ACC_FORM
CAR01_S_CURRENT;FLOAT32;WRITE;CAR;ModelScript;;S_CURRENT
CAR01_S_DEC;FLOAT32;WRITE;CAR;ModelScript;;S_DEC
Fork01_S_DEC_FORK;FLOAT32;WRITE;Fork;ModelScript;;S_DEC_FORK
Platform01_S_DEC_FORM;FLOAT32;WRITE;Platform;ModelScript;;S_DEC_FORM
CAR01_S_ERROR;UINT16;WRITE;CAR;ModelScript;;S_ERROR
CAR01_S_SPD;FLOAT32;WRITE;CAR;ModelScript;;S_SPD
Fork01_S_SPD_FORK;FLOAT32;WRITE;Fork;ModelScript;;S_SPD_FORK
Platform01_S_SPD_FORM;FLOAT32;WRITE;Platform;ModelScript;;S_SPD_FORM
CAR01_S_STATE;UINT16;WRITE;CAR;ModelScript;;S_STATE
Platform01_S_STATE_FORM;UINT16;WRITE;Platform;ModelScript;;S_STATE_FORM
CAR01_S_TGT;FLOAT32;WRITE;CAR;ModelScript;;S_TGT
Fork01_S_TGT_FORK;FLOAT32;WRITE;Fork;ModelScript;;S_TGT_FORK
Platform01_S_TGT_FORM;FLOAT32;WRITE;Platform;ModelScript;;S_TGT_FORM
CAR01_WUCHA;FLOAT32;WRITE;CAR;ModelScript;;WUCHA
agvCar101_input_Path;INT32;WRITE;agvCar1;ModelScript;;input_Path
agvCar201_input_Path;INT32;WRITE;agvCar2;ModelScript;;input_Path
agvCar301_input_Path;INT32;WRITE;agvCar3;ModelScript;;input_Path
ocsCar101_input_Path;INT32;WRITE;ocsCar1;ModelScript;;input_Path
ocsCar201_input_Path;INT32;WRITE;ocsCar2;ModelScript;;input_Path
ocsCar301_input_Path;INT32;WRITE;ocsCar3;ModelScript;;input_Path
ocsCar401_input_Path;INT32;WRITE;ocsCar4;ModelScript;;input_Path
ocsCar501_input_Path;INT32;WRITE;ocsCar5;ModelScript;;input_Path
ocsCar601_input_Path;INT32;WRITE;ocsCar6;ModelScript;;input_Path
ocsCar701_input_Path;INT32;WRITE;ocsCar7;ModelScript;;input_Path
ocsCar801_input_Path;INT32;WRITE;ocsCar8;ModelScript;;input_Path
ocsCar901_input_Path;INT32;WRITE;ocsCar9;ModelScript;;input_Path
ocsCar1001_input_Path;INT32;WRITE;ocsCar10;ModelScript;;input_Path
ocsCar1101_input_Path;INT32;WRITE;ocsCar11;ModelScript;;input_Path
ocsCar1201_input_Path;INT32;WRITE;ocsCar12;ModelScript;;input_Path
ocsCar1301_input_Path;INT32;WRITE;ocsCar13;ModelScript;;input_Path
ocsCar1401_input_Path;INT32;WRITE;ocsCar14;ModelScript;;input_Path
ocsCar1501_input_Path;INT32;WRITE;ocsCar15;ModelScript;;input_Path
ocsCar1601_input_Path;INT32;WRITE;ocsCar16;ModelScript;;input_Path
ocsCar1701_input_Path;INT32;WRITE;ocsCar17;ModelScript;;input_Path
ocsCar1801_input_Path;INT32;WRITE;ocsCar18;ModelScript;;input_Path
ocsCar1901_input_Path;INT32;WRITE;ocsCar19;ModelScript;;input_Path
ocsCar2001_input_Path;INT32;WRITE;ocsCar20;ModelScript;;input_Path
ocsCar2101_input_Path;INT32;WRITE;ocsCar21;ModelScript;;input_Path
ocsCar2201_input_Path;INT32;WRITE;ocsCar22;ModelScript;;input_Path
ocsCar2301_input_Path;INT32;WRITE;ocsCar23;ModelScript;;input_Path
ocsCar2401_input_Path;INT32;WRITE;ocsCar24;ModelScript;;input_Path
ocsCar2501_input_Path;INT32;WRITE;ocsCar25;ModelScript;;input_Path
ocsCar2601_input_Path;INT32;WRITE;ocsCar26;ModelScript;;input_Path
ocsCar2701_input_Path;INT32;WRITE;ocsCar27;ModelScript;;input_Path
ocsCar2801_input_Path;INT32;WRITE;ocsCar28;ModelScript;;input_Path
ocsCar2901_input_Path;INT32;WRITE;ocsCar29;ModelScript;;input_Path
ocsCar3001_input_Path;INT32;WRITE;ocsCar30;ModelScript;;input_Path
ocsCar3101_input_Path;INT32;WRITE;ocsCar31;ModelScript;;input_Path
ocsCar3201_input_Path;INT32;WRITE;ocsCar32;ModelScript;;input_Path
ocsCar3301_input_Path;INT32;WRITE;ocsCar33;ModelScript;;input_Path
ocsCar3401_input_Path;INT32;WRITE;ocsCar34;ModelScript;;input_Path
ocsCar3501_input_Path;INT32;WRITE;ocsCar35;ModelScript;;input_Path
ocsCar3601_input_Path;INT32;WRITE;ocsCar36;ModelScript;;input_Path
ocsCar3701_input_Path;INT32;WRITE;ocsCar37;ModelScript;;input_Path
ocsCar3801_input_Path;INT32;WRITE;ocsCar38;ModelScript;;input_Path
ocsCar3901_input_Path;INT32;WRITE;ocsCar39;ModelScript;;input_Path
ocsCar4001_input_Path;INT32;WRITE;ocsCar40;ModelScript;;input_Path
ocsCar4101_input_Path;INT32;WRITE;ocsCar41;ModelScript;;input_Path
ocsCar4201_input_Path;INT32;WRITE;ocsCar42;ModelScript;;input_Path
ocsCar4301_input_Path;INT32;WRITE;ocsCar43;ModelScript;;input_Path
ocsCar4401_input_Path;INT32;WRITE;ocsCar44;ModelScript;;input_Path
ocsCar4501_input_Path;INT32;WRITE;ocsCar45;ModelScript;;input_Path
ocsCar4601_input_Path;INT32;WRITE;ocsCar46;ModelScript;;input_Path
agvCar101_input_pos;FLOAT32;WRITE;agvCar1;ModelScript;;input_pos
agvCar201_input_pos;FLOAT32;WRITE;agvCar2;ModelScript;;input_pos
agvCar301_input_pos;FLOAT32;WRITE;agvCar3;ModelScript;;input_pos
ocsCar101_input_pos;FLOAT32;WRITE;ocsCar1;ModelScript;;input_pos
ocsCar201_input_pos;FLOAT32;WRITE;ocsCar2;ModelScript;;input_pos
ocsCar301_input_pos;FLOAT32;WRITE;ocsCar3;ModelScript;;input_pos
ocsCar401_input_pos;FLOAT32;WRITE;ocsCar4;ModelScript;;input_pos
ocsCar501_input_pos;FLOAT32;WRITE;ocsCar5;ModelScript;;input_pos
ocsCar601_input_pos;FLOAT32;WRITE;ocsCar6;ModelScript;;input_pos
ocsCar701_input_pos;FLOAT32;WRITE;ocsCar7;ModelScript;;input_pos
ocsCar801_input_pos;FLOAT32;WRITE;ocsCar8;ModelScript;;input_pos
ocsCar901_input_pos;FLOAT32;WRITE;ocsCar9;ModelScript;;input_pos
ocsCar1001_input_pos;FLOAT32;WRITE;ocsCar10;ModelScript;;input_pos
ocsCar1101_input_pos;FLOAT32;WRITE;ocsCar11;ModelScript;;input_pos
ocsCar1201_input_pos;FLOAT32;WRITE;ocsCar12;ModelScript;;input_pos
ocsCar1301_input_pos;FLOAT32;WRITE;ocsCar13;ModelScript;;input_pos
ocsCar1401_input_pos;FLOAT32;WRITE;ocsCar14;ModelScript;;input_pos
ocsCar1501_input_pos;FLOAT32;WRITE;ocsCar15;ModelScript;;input_pos
ocsCar1601_input_pos;FLOAT32;WRITE;ocsCar16;ModelScript;;input_pos
ocsCar1701_input_pos;FLOAT32;WRITE;ocsCar17;ModelScript;;input_pos
ocsCar1801_input_pos;FLOAT32;WRITE;ocsCar18;ModelScript;;input_pos
ocsCar1901_input_pos;FLOAT32;WRITE;ocsCar19;ModelScript;;input_pos
ocsCar2001_input_pos;FLOAT32;WRITE;ocsCar20;ModelScript;;input_pos
ocsCar2101_input_pos;FLOAT32;WRITE;ocsCar21;ModelScript;;input_pos
ocsCar2201_input_pos;FLOAT32;WRITE;ocsCar22;ModelScript;;input_pos
ocsCar2301_input_pos;FLOAT32;WRITE;ocsCar23;ModelScript;;input_pos
ocsCar2401_input_pos;FLOAT32;WRITE;ocsCar24;ModelScript;;input_pos
ocsCar2501_input_pos;FLOAT32;WRITE;ocsCar25;ModelScript;;input_pos
ocsCar2601_input_pos;FLOAT32;WRITE;ocsCar26;ModelScript;;input_pos
ocsCar2701_input_pos;FLOAT32;WRITE;ocsCar27;ModelScript;;input_pos
ocsCar2801_input_pos;FLOAT32;WRITE;ocsCar28;ModelScript;;input_pos
ocsCar2901_input_pos;FLOAT32;WRITE;ocsCar29;ModelScript;;input_pos
ocsCar3001_input_pos;FLOAT32;WRITE;ocsCar30;ModelScript;;input_pos
ocsCar3101_input_pos;FLOAT32;WRITE;ocsCar31;ModelScript;;input_pos
ocsCar3201_input_pos;FLOAT32;WRITE;ocsCar32;ModelScript;;input_pos
ocsCar3301_input_pos;FLOAT32;WRITE;ocsCar33;ModelScript;;input_pos
ocsCar3401_input_pos;FLOAT32;WRITE;ocsCar34;ModelScript;;input_pos
ocsCar3501_input_pos;FLOAT32;WRITE;ocsCar35;ModelScript;;input_pos
ocsCar3601_input_pos;FLOAT32;WRITE;ocsCar36;ModelScript;;input_pos
ocsCar3701_input_pos;FLOAT32;WRITE;ocsCar37;ModelScript;;input_pos
ocsCar3801_input_pos;FLOAT32;WRITE;ocsCar38;ModelScript;;input_pos
ocsCar3901_input_pos;FLOAT32;WRITE;ocsCar39;ModelScript;;input_pos
ocsCar4001_input_pos;FLOAT32;WRITE;ocsCar40;ModelScript;;input_pos
ocsCar4101_input_pos;FLOAT32;WRITE;ocsCar41;ModelScript;;input_pos
ocsCar4201_input_pos;FLOAT32;WRITE;ocsCar42;ModelScript;;input_pos
ocsCar4301_input_pos;FLOAT32;WRITE;ocsCar43;ModelScript;;input_pos
ocsCar4401_input_pos;FLOAT32;WRITE;ocsCar44;ModelScript;;input_pos
ocsCar4501_input_pos;FLOAT32;WRITE;ocsCar45;ModelScript;;input_pos
ocsCar4601_input_pos;FLOAT32;WRITE;ocsCar46;ModelScript;;input_pos
